tweet_id	date	time	lang	country_code
1542062565202620416	2022-06-29	08:29:00	qme	NULL
1542062571712385025	2022-06-29	08:29:01	it	NULL
1542062572865835010	2022-06-29	08:29:02	qht	NULL
1542062574694539265	2022-06-29	08:29:02	en	NULL
1542062575659225088	2022-06-29	08:29:02	es	NULL
1542062581262589953	2022-06-29	08:29:04	es	NULL
1542062583930183680	2022-06-29	08:29:04	es	NULL
1542062584559460352	2022-06-29	08:29:04	und	NULL
1542062590053912576	2022-06-29	08:29:06	es	NULL
1542062590494658560	2022-06-29	08:29:06	qst	NULL
1542062590607720448	2022-06-29	08:29:06	en	NULL
1542062592906117122	2022-06-29	08:29:06	fr	NULL
1542062595552575488	2022-06-29	08:29:07	es	NULL
1542062603715117056	2022-06-29	08:29:09	en	NULL
1542062615966498818	2022-06-29	08:29:12	en	NULL
1542062618214510593	2022-06-29	08:29:12	art	NULL
1542062629556035586	2022-06-29	08:29:15	qht	NULL
1542062630008893445	2022-06-29	08:29:15	qme	NULL
1542062640305827840	2022-06-29	08:29:18	en	NULL
1542062641585455105	2022-06-29	08:29:18	in	NULL
1542062642210435073	2022-06-29	08:29:18	ja	NULL
1542062648715788288	2022-06-29	08:29:20	en	NULL
1542062652045676545	2022-06-29	08:29:21	th	NULL
1542062657666170880	2022-06-29	08:29:22	en	NULL
1542062670320652289	2022-06-29	08:29:25	zxx	NULL
1542062670563532800	2022-06-29	08:29:25	en	NULL
1542062675894714370	2022-06-29	08:29:26	en	NULL
1542062688372924416	2022-06-29	08:29:29	en	NULL
1542062706563289088	2022-06-29	08:29:34	en	NULL
1542062708979142656	2022-06-29	08:29:34	en	NULL
1542062713437929474	2022-06-29	08:29:35	fr	NULL
1542062720580694017	2022-06-29	08:29:37	qme	NULL
1542062725438013441	2022-06-29	08:29:38	fr	NULL
1542062726046007296	2022-06-29	08:29:38	es	NULL
1542062730374676480	2022-06-29	08:29:39	ja	NULL
1542062730735394817	2022-06-29	08:29:39	en	NULL
1542062732261806081	2022-06-29	08:29:40	th	NULL
1542062732924665857	2022-06-29	08:29:40	qme	NULL
1542062737064431616	2022-06-29	08:29:41	en	NULL
1542062737873838080	2022-06-29	08:29:41	de	NULL
1542062749940961281	2022-06-29	08:29:44	fr	NULL
1542062764017217537	2022-06-29	08:29:47	tl	NULL
1542062769352364033	2022-06-29	08:29:49	en	NULL
1542062777665081344	2022-06-29	08:29:50	ja	NULL
1542062783260401665	2022-06-29	08:29:52	nl	NULL
1542062783809966081	2022-06-29	08:29:52	fr	NULL
1542062796313083905	2022-06-29	08:29:55	en	NULL
1542062798376734722	2022-06-29	08:29:55	en	NULL
1542062799446282241	2022-06-29	08:29:56	en	NULL
1542062807176429568	2022-06-29	08:29:58	ja	NULL
1542062813723496449	2022-06-29	08:29:59	qme	NULL
1542062816294850562	2022-06-29	08:30:00	fr	NULL
1542062816575688705	2022-06-29	08:30:00	en	NULL
1542062816621887488	2022-06-29	08:30:00	en	NULL
1542062817175412736	2022-06-29	08:30:00	en	NULL
1542062817267724288	2022-06-29	08:30:00	ja	NULL
1542062817326399488	2022-06-29	08:30:00	tl	NULL
1542062818689777666	2022-06-29	08:30:00	es	NULL
1542062819939590144	2022-06-29	08:30:01	en	NULL
1542062824171896833	2022-06-29	08:30:02	en	NULL
1542062825027571712	2022-06-29	08:30:02	ca	NULL
1542062825513836544	2022-06-29	08:30:02	it	NULL
1542062825702817792	2022-06-29	08:30:02	ja	NULL
1542062826512080898	2022-06-29	08:30:02	en	NULL
1542062826830778368	2022-06-29	08:30:02	ja	NULL
1542062827741270016	2022-06-29	08:30:02	ja	NULL
1542062827858530310	2022-06-29	08:30:02	en	NULL
1542062828235923456	2022-06-29	08:30:03	en	NULL
1542062828722409473	2022-06-29	08:30:03	ja	NULL
1542062828944666624	2022-06-29	08:30:03	ja	NULL
1542062829679054848	2022-06-29	08:30:03	ja	NULL
1542062830752780288	2022-06-29	08:30:03	ja	NULL
1542062831314558976	2022-06-29	08:30:03	en	NULL
1542062831398297600	2022-06-29	08:30:03	en	NULL
1542062831763443712	2022-06-29	08:30:03	en	NULL
1542062832023633925	2022-06-29	08:30:03	ja	NULL
1542062832916627456	2022-06-29	08:30:04	ja	NULL
1542062833382334464	2022-06-29	08:30:04	es	NULL
1542062833818828800	2022-06-29	08:30:04	ja	NULL
1542062839149608961	2022-06-29	08:30:05	en	NULL
1542062853040926725	2022-06-29	08:30:08	en	NULL
1542062854337171456	2022-06-29	08:30:09	en	NULL
1542062855616311296	2022-06-29	08:30:09	th	NULL
1542062856518115328	2022-06-29	08:30:09	en	NULL
1542062856606285824	2022-06-29	08:30:09	en	NULL
1542062866852872192	2022-06-29	08:30:12	pt	NULL
1542062875954618368	2022-06-29	08:30:14	en	NULL
1542062878651568130	2022-06-29	08:30:15	en	NULL
1542062879893078017	2022-06-29	08:30:15	en	NULL
1542062882778935298	2022-06-29	08:30:16	th	NULL
1542062884112547843	2022-06-29	08:30:16	en	NULL
1542062891024715777	2022-06-29	08:30:18	fr	NULL
1542062902122774531	2022-06-29	08:30:20	en	NULL
1542062910893359104	2022-06-29	08:30:22	en	NULL
1542062912482598913	2022-06-29	08:30:23	th	NULL
1542062912877260801	2022-06-29	08:30:23	zh	NULL
1542062918866309120	2022-06-29	08:30:24	qme	NULL
1542062926273515520	2022-06-29	08:30:26	en	NULL
1542062936977465345	2022-06-29	08:30:28	en	NULL
1542062945575763968	2022-06-29	08:30:31	en	NULL
1542062951942991875	2022-06-29	08:30:32	en	NULL
1542062953796878336	2022-06-29	08:30:32	ro	NULL
1542062965549109248	2022-06-29	08:30:35	pt	NULL
1542062968178974720	2022-06-29	08:30:36	it	NULL
1542062986298535937	2022-06-29	08:30:40	en	NULL
1542062991062867968	2022-06-29	08:30:41	ja	NULL
1542062995987206144	2022-06-29	08:30:43	en	NULL
1542062996725596160	2022-06-29	08:30:43	ca	NULL
1542063000542396416	2022-06-29	08:30:44	in	NULL
1542063006120521728	2022-06-29	08:30:45	qme	NULL
1542063006699335682	2022-06-29	08:30:45	en	NULL
1542063007093637120	2022-06-29	08:30:45	en	NULL
1542063015935086592	2022-06-29	08:30:47	ja	NULL
1542063021232914432	2022-06-29	08:30:49	in	NULL
1542063025506639873	2022-06-29	08:30:50	qme	NULL
1542063029063487488	2022-06-29	08:30:50	fr	NULL
1542063033220042759	2022-06-29	08:30:51	pl	NULL
1542063035052957696	2022-06-29	08:30:52	nl	NULL
1542063041646366720	2022-06-29	08:30:53	de	NULL
1542063068154404864	2022-06-29	08:31:00	de	NULL
1542063079009271808	2022-06-29	08:31:02	en	NULL
1542063082956099586	2022-06-29	08:31:03	tr	NULL
1542063085757894656	2022-06-29	08:31:04	ja	NULL
1542063095014719488	2022-06-29	08:31:06	en	NULL
1542063098558877697	2022-06-29	08:31:07	de	NULL
1542063099162685440	2022-06-29	08:31:07	in	NULL
1542063101725384704	2022-06-29	08:31:08	qme	NULL
1542063106246983680	2022-06-29	08:31:09	en	NULL
1542063107341942784	2022-06-29	08:31:09	en	NULL
1542063110751543296	2022-06-29	08:31:10	th	NULL
1542063117512966144	2022-06-29	08:31:12	en	NULL
1542063118372708353	2022-06-29	08:31:12	fr	NULL
1542063119907913728	2022-06-29	08:31:12	en	NULL
1542063124068679682	2022-06-29	08:31:13	en	NULL
1542063125993766913	2022-06-29	08:31:14	en	NULL
1542063137863901184	2022-06-29	08:31:16	en	NULL
1542063148726816769	2022-06-29	08:31:19	th	NULL
1542063153390968834	2022-06-29	08:31:20	sl	NULL
1542063156943618049	2022-06-29	08:31:21	tr	NULL
1542063157241434113	2022-06-29	08:31:21	en	NULL
1542063160923938816	2022-06-29	08:31:22	en	NULL
1542063167957635072	2022-06-29	08:31:24	en	NULL
1542063169111068673	2022-06-29	08:31:24	zh	NULL
